Estructura,Patron,Repeticion,Tiempo_Construccion_ms,Tiempo_Busqueda_ms,Num_Ocurrencias,Documentos_Encontrados
FMI,article$,4,82033.4,0.091541,0,0
SA,article$,5,5318.95,0.013199,0,0
FMI,article$,5,80805.6,0.034678,0,0
SA,article$,6,5536.96,0.02554,0,0
FMI,article$,6,74321.3,0.091953,0,0
SA,article$,7,5976.78,0.018991,0,0
FMI,article$,7,70225.5,0.034844,0,0
SA,article$,8,5898.02,0.023011,0,0
FMI,article$,8,70128.9,0.060652,0,0
SA,article$,9,5703.75,0.021118,0,0
FMI,article$,9,67576,0.040439,0,0
SA,article$,10,4706.97,0.023491,0,0
FMI,article$,10,72043.3,0.034902,0,0
SA,article$,11,5513.25,0.017748,0,0
FMI,article$,11,70065,0.031447,0,0
SA,article$,12,5365.61,0.030739,0,0
FMI,article$,12,68148.9,0.073874,0,0
SA,article$,13,4741,0.013237,0,0
FMI,article$,13,75534.4,0.117117,0,0
SA,article$,14,5752.83,0.026238,0,0
FMI,article$,14,67796.1,0.041429,0,0
SA,article$,15,5794.01,0.065504,0,0
FMI,article$,15,70702.6,0.031928,0,0
SA,article$,16,5478.19,0.015016,0,0
FMI,article$,16,74682.1,0.04146,0,0
SA,article$,17,5561.9,0.016279,0,0
FMI,article$,17,69718,0.044502,0,0
SA,article$,18,5228.73,0.019758,0,0
FMI,article$,18,67949.2,0.035585,0,0
SA,article$,19,4647.41,0.013229,0,0
FMI,article$,19,71802.1,0.037794,0,0
SA,article$,20,5975.79,0.017296,0,0
FMI,article$,20,69164.6,0.032938,0,0
SA,article$,21,5209.83,0.021218,0,0
FMI,article$,21,69379.5,0.053391,0,0
SA,article$,22,5417.9,0.016902,0,0
FMI,article$,22,67760.1,0.037055,0,0
SA,article$,23,5598.17,0.035764,0,0
FMI,article$,23,68347.3,0.046632,0,0
SA,article$,24,5475.41,0.019237,0,0
FMI,article$,24,69178.7,0.045736,0,0
SA,article$,25,5435.96,0.019453,0,0
FMI,article$,25,66807.5,0.081824,0,0
SA,article$,26,5784.12,0.027133,0,0
FMI,article$,26,64217.6,0.083404,0,0
SA,article$,27,5604.27,0.014696,0,0
FMI,article$,27,67806.6,0.039539,0,0
SA,article$,28,5285.82,0.017689,0,0
FMI,article$,28,65464.3,0.055454,0,0
SA,article$,29,4730.2,0.015533,0,0
FMI,article$,29,64399.5,0.054275,0,0
SA,article$,30,4362.3,0.038811,0,0
FMI,article$,30,63520.7,0.03724,0,0
