Estructura,Patron,Repeticion,Tiempo_Construccion_ms,Tiempo_Busqueda_ms,Num_Ocurrencias,Documentos_Encontrados
FMI,XXYZ123abcXYZ,15,53143.1,0.033198,0,0
SA,XXYZ123abcXYZ,16,4277.86,0.011486,0,0
FMI,XXYZ123abcXYZ,16,54321.8,0.052246,0,0
SA,XXYZ123abcXYZ,17,4315.68,0.035165,0,0
FMI,XXYZ123abcXYZ,17,53578.2,0.03298,0,0
SA,XXYZ123abcXYZ,18,4214.84,0.012063,0,0
FMI,XXYZ123abcXYZ,18,53322.7,0.032312,0,0
SA,XXYZ123abcXYZ,19,4346.26,0.010979,0,0
FMI,XXYZ123abcXYZ,19,53832.2,0.03278,0,0
SA,XXYZ123abcXYZ,20,4295.71,0.010139,0,0
FMI,XXYZ123abcXYZ,20,52894.9,0.033519,0,0
SA,XXYZ123abcXYZ,21,4299.86,0.01095,0,0
FMI,XXYZ123abcXYZ,21,53612.3,0.030827,0,0
SA,XXYZ123abcXYZ,22,4515.72,0.035848,0,0
FMI,XXYZ123abcXYZ,22,53864,0.032705,0,0
SA,XXYZ123abcXYZ,23,4285.14,0.036713,0,0
FMI,XXYZ123abcXYZ,23,52992.9,0.033556,0,0
SA,XXYZ123abcXYZ,24,4344.11,0.01063,0,0
FMI,XXYZ123abcXYZ,24,53875.6,0.033665,0,0
SA,XXYZ123abcXYZ,25,4298.06,0.011637,0,0
FMI,XXYZ123abcXYZ,25,54037.6,0.032087,0,0
SA,XXYZ123abcXYZ,26,4345.49,0.011036,0,0
FMI,XXYZ123abcXYZ,26,54018.6,0.033543,0,0
SA,XXYZ123abcXYZ,27,4333.68,0.011065,0,0
FMI,XXYZ123abcXYZ,27,53755.8,0.031722,0,0
SA,XXYZ123abcXYZ,28,4318.72,0.011014,0,0
FMI,XXYZ123abcXYZ,28,54221.9,0.077265,0,0
SA,XXYZ123abcXYZ,29,4301.44,0.011222,0,0
FMI,XXYZ123abcXYZ,29,54002.6,0.09097,0,0
SA,XXYZ123abcXYZ,30,4275.75,0.052814,0,0
FMI,XXYZ123abcXYZ,30,53733.7,0.05328,0,0
SA,article$,1,4345.84,0.01529,0,0
FMI,article$,1,54213.5,0.030208,0,0
SA,article$,2,4307.14,0.032154,0,0
FMI,article$,2,54081.6,0.030104,0,0
SA,article$,3,4368.09,0.015567,0,0
FMI,article$,3,53989.8,0.043377,0,0
SA,article$,4,4294.71,0.075761,0,0
FMI,article$,4,53948,0.029462,0,0
SA,article$,5,4422.99,0.016454,0,0
FMI,article$,5,57986.1,0.031252,0,0
SA,article$,6,4705.34,0.018741,0,0
FMI,article$,6,56746.5,0.029027,0,0
SA,article$,7,4553.47,0.014671,0,0
FMI,article$,7,58247.1,0.029619,0,0
SA,article$,8,4395.91,0.014932,0,0
FMI,article$,8,53990.9,0.029054,0,0
SA,article$,9,4380.3,0.014469,0,0
FMI,article$,9,53770.6,0.029645,0,0
SA,article$,10,4669.34,0.033953,0,0
FMI,article$,10,54720.3,0.030167,0,0
SA,article$,11,4318.53,0.014793,0,0
FMI,article$,11,54101.5,0.075254,0,0
SA,article$,12,4362.18,0.028153,0,0
FMI,article$,12,54474.9,0.028462,0,0
SA,article$,13,4304.24,0.016988,0,0
FMI,article$,13,54422.8,0.030003,0,0
SA,article$,14,4358.89,0.016701,0,0
FMI,article$,14,54247,0.073371,0,0
SA,article$,15,4343.37,0.044772,0,0
FMI,article$,15,53998.3,0.077286,0,0
SA,article$,16,4326.15,0.014621,0,0
FMI,article$,16,53841,0.050334,0,0
SA,article$,17,4293.1,0.038166,0,0
FMI,article$,17,54488.9,0.031376,0,0
SA,article$,18,4342.39,0.014786,0,0
FMI,article$,18,53832.4,0.029274,0,0
SA,article$,19,4292.69,0.042296,0,0
FMI,article$,19,53592.9,0.09262,0,0
SA,article$,20,4302.45,0.016762,0,0
FMI,article$,20,53857,0.077929,0,0
SA,article$,21,4235.81,0.016667,0,0
FMI,article$,21,54170,0.054445,0,0
SA,article$,22,4315.54,0.016529,0,0
FMI,article$,22,54308,0.115522,0,0
SA,article$,23,4393.12,0.015612,0,0
FMI,article$,23,54336.8,0.058037,0,0
SA,article$,24,4308.68,0.06366,0,0
FMI,article$,24,54000.1,0.031219,0,0
SA,article$,25,4326.94,0.015285,0,0
FMI,article$,25,53963.8,0.032247,0,0
SA,article$,26,4315.59,0.015576,0,0
FMI,article$,26,53897,0.02995,0,0
SA,article$,27,4309.09,0.014262,0,0
FMI,article$,27,53934.5,0.030197,0,0
SA,article$,28,4301.71,0.043985,0,0
FMI,article$,28,54043.4,0.031027,0,0
SA,article$,29,4397.21,0.015565,0,0
FMI,article$,29,53950.5,0.032322,0,0
SA,article$,30,4354.97,0.015902,0,0
FMI,article$,30,53539,0.030322,0,0
