dataset,n,memory_mb,build_time_ms,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
proteins_SA,515,400,11402.2,71457.6,34786.3,47134,50605.8,60842,69909,180908
proteins_SA,520,400,11402.2,64433.7,29697.7,45905,49784.2,58535.5,63100.2,212067
proteins_SA,525,400,11402.2,72027.9,27325.5,46655,54727,61630,79226.5,151195
proteins_SA,530,400,11402.2,60586.2,26922.9,44548,49879.2,52630,57863.8,190811
proteins_SA,535,400,11402.2,60801.9,23165.6,46266,49067.8,51546.5,62626,159871
proteins_SA,540,400,11402.2,85215.2,41509.6,58924,64962,69018.5,82992.8,231915
proteins_SA,545,400,11402.2,68741.2,24984.8,46944,57674.2,63897,72245.2,192349
proteins_SA,550,400,11402.2,62191.7,19384,48552,52377.5,58141,61189,138895
proteins_SA,555,400,11402.2,71121.8,26591.1,49270,53995.8,61440,79502,168737
proteins_SA,560,400,11402.2,74133.9,25668.8,56718,62094,66832,74360,200216
proteins_SA,565,400,11402.2,90707,35371.7,63817,71380,76861,93208.5,235978
proteins_SA,570,400,11402.2,129817,118785,61680,67298.8,80639,123425,568464
proteins_SA,575,400,11402.2,79269,23829.9,61191,68621.5,71159.5,80891.8,190502
proteins_SA,580,400,11402.2,84796.2,31148.9,61730,68486.8,71090,82596.2,181593
proteins_SA,585,400,11402.2,132294,87464.9,58445,69849.5,79805.5,214626,369812
proteins_SA,590,400,11402.2,60216.4,14029.3,50738,54264.8,56598.5,58705.5,130259
proteins_SA,595,400,11402.2,69529.4,27032,46884,54110.8,61645,69927,181316
proteins_SA,600,400,11402.2,71847.1,29368.6,52735,57337,67106,71112.2,212576
proteins_SA,605,400,11402.2,80740.6,23611.7,52764,68631.2,72407.5,87213.5,161259
proteins_SA,610,400,11402.2,92343.4,53886.6,62519,69142.5,73940.5,87933,283511
proteins_SA,615,400,11402.2,91317.8,50196.6,60831,67331.8,70176.5,90516,274207
proteins_SA,620,400,11402.2,86784.2,30016.2,62030,67697.8,77115.5,90960.2,184351
proteins_SA,625,400,11402.2,89767.5,32105.5,63747,70735.2,74928.5,93603.2,203301
proteins_SA,630,400,11402.2,82180.1,22426.1,54712,67822.8,77699,89385.5,170145
